#Serovar	Isolate	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Collection Date
	PDT000771664.1	USA:Kansas	feces	environmental/other	PDS000064894.1	4		SAMN09381051	GCA_013370065.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,tet(B)=COMPLETE,tet(M)=COMPLETE	2014
	PDT000771692.1	USA:Kansas	feces	environmental/other	PDS000064894.1	4		SAMN09381043	GCA_013370725.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,tet(B)=COMPLETE,tet(M)=COMPLETE	2014
	PDT000243041.1	USA: FL	feces	environmental/other	PDS000016086.1	3		SAMN05363783	GCA_002324845.1	aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,dfrA12=COMPLETE,floR=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2015-11-10
	PDT000243048.1	USA: FL	feces	environmental/other	PDS000016086.1	3		SAMN05363785	GCA_002326865.1	aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,dfrA12=COMPLETE,floR=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2015-11-10
	PDT000285848.3	USA	stool	clinical	PDS000035516.3	34		SAMN08501064	GCA_012258445.1	blaEC=COMPLETE	2018-01-09
	PDT000113711.3	USA	stool	clinical	PDS000033332.4	2		SAMN04546761	GCA_012772175.1	blaEC=COMPLETE	2016-01-21
	PDT000213221.3	USA	stool	clinical	PDS000033332.4	22		SAMN07172029	GCA_012466665.1	blaEC=COMPLETE	2015-06-01
	PDT000287883.3	USA	stool	clinical	PDS000036098.5	4		SAMN08558988	GCA_012258785.1	blaEC=COMPLETE	2017-07-01
	PDT000145196.3	USA:TX	stool	clinical	PDS000057264.1	4		SAMN05371123	GCA_012633565.1	blaEC=COMPLETE	2013
	PDT000145199.3	USA:TX	stool	clinical	PDS000057264.1	4		SAMN05371126	GCA_012633525.1	blaEC=COMPLETE	2013
	PDT000152114.3	USA:TX	stool	clinical	PDS000057264.1	4		SAMN05371132	GCA_012580835.1	blaEC=COMPLETE	2013
	PDT000213259.3	USA	stool	clinical	PDS000057452.1	39		SAMN07172363	GCA_012466015.1	blaEC=COMPLETE	2015-12-20
	PDT000243046.1	USA: FL	feces	environmental/other	PDS000016103.1	17		SAMN05409583	GCA_002326835.1	aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,tet(B)=COMPLETE	2015-12-01
	PDT000243053.1	USA: FL	feces	environmental/other	PDS000016103.1	17		SAMN05410142	GCA_002326945.1	aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaCMY-2=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,sul2=PARTIAL_END_OF_CONTIG,tet(A)=COMPLETE,tet(B)=COMPLETE	2015-12-01
	PDT000137573.3	USA	stool	clinical	PDS000034068.3	41		SAMN05374532	GCA_012668255.1	blaEC=COMPLETE	2013-05-30
Pending:Pending	PDT000082113.3	USA	stool	clinical	PDS000034241.3	38		SAMN03980340	GCA_012803515.1	blaEC=MISTRANSLATION,tet(B)=COMPLETE	2015-06
	PDT000396680.2	USA:MI	stool	clinical	PDS000038035.2		47	SAMN10289759	GCA_012070115.1	blaEC=COMPLETE	2007
	PDT000396685.2	USA:MI	stool	clinical	PDS000038036.5	8		SAMN10289792	GCA_012070015.1	blaEC=COMPLETE	2009
	PDT000215132.3	USA	stool	clinical	PDS000034117.5	11		SAMN07159562	GCA_012560605.1	blaEC=COMPLETE	2016-08-16
	PDT000488244.1	USA: Ohio	feces	clinical	PDS000044733.2	2		SAMN08810282	GCA_004766755.1	blaEC=COMPLETE	2014
	PDT000488264.1	USA: Ohio	feces	clinical	PDS000044733.2	2		SAMN08810283	GCA_004767125.1	blaEC=COMPLETE	2014
	PDT000314500.3	USA:CA	feces	environmental/other	PDS000057418.1	4		SAMN09014407	GCA_012206105.1	blaEC=COMPLETE	2008-01
Undetermined:HNT	PDT000141152.3	USA	stool	clinical	PDS000034137.3		23	SAMN05179989	GCA_012767865.1	blaEC=COMPLETE	2016-04
	PDT000281622.3	USA:MI	stool	clinical	PDS000034342.3	25		SAMN08102361	GCA_012263705.1	blaEC=COMPLETE	2008
	PDT000092466.3	USA:TX	stool	clinical	PDS000035968.3	32		SAMN04148328	GCA_012777495.1	blaEC=COMPLETE	2015
	PDT000148627.3	USA:TX	stool	clinical	PDS000040110.3	27		SAMN05371131	GCA_012588725.1	blaEC=COMPLETE	2013
	PDT000503650.3	USA:MI	stool	clinical	PDS000046492.2	0		SAMN10506134	GCA_011932755.1	aadA1=COMPLETE,blaEC=COMPLETE,dfrA1=COMPLETE,sat2=COMPLETE	2013
	PDT000213246.2	USA	stool	clinical	PDS000054862.2	17		SAMN07172343	GCA_012466245.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA8=COMPLETE,gyrA_S83L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	2016-01-15
Isolate to CDC:Isolate to CDC	PDT000107755.3	USA	stool	clinical	PDS000005211.3	19		SAMN04498708	GCA_012739825.1	blaEC=COMPLETE	2009-03
	PDT000343382.1	USA: Salinas, California	feces	clinical	PDS000023971.1	10		SAMN08823043	GCA_003288275.1	blaEC=COMPLETE	2009-10
	PDT000343383.1	USA: Salinas, California	feces	clinical	PDS000023971.1	10		SAMN08822959	GCA_003288295.1	blaEC=COMPLETE	2009-05
	PDT000213222.3	USA	stool	clinical	PDS000045059.3	43		SAMN07172018	GCA_012466465.1	blaEC=COMPLETE	2014-09-30
	PDT000107745.3	USA	stool	clinical	PDS000034349.3	2		SAMN04498564	GCA_012739855.1	blaEC=COMPLETE	2015-10-20
Pending:Pending	PDT000083226.3	USA	stool	clinical	PDS000035301.4		22	SAMN04009230	GCA_012796575.1	blaEC=COMPLETE	2015-07
	PDT000203691.1	USA:FL	feces	environmental/other	PDS000064309.1	45		SAMN05789717	GCA_002099695.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA14=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2016-02-05
Pending:Undetermined	PDT000081890.3	USA	stool	clinical	PDS000034592.3	4		SAMN03981629	GCA_012804335.1	blaEC=COMPLETE,blaTEM-1=COMPLETE	2015-07
Pending:Undetermined	PDT000084025.3	USA	stool	clinical	PDS000034592.3	4		SAMN03857015	GCA_012793535.1	blaEC=COMPLETE	2015-06
	PDT000253142.2	USA	stool	clinical	PDS000036811.1	23		SAMN07795427	GCA_012363995.1	blaEC=COMPLETE,blaTEM-1=COMPLETE,gyrA_S83L=POINT,tet(B)=COMPLETE	2017-04-21
	PDT000488294.1	USA: Alachua, FL	feces	environmental/other	PDS000044731.1	29		SAMN11334885	GCA_004767785.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA14=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2016
	PDT000488314.1	USA: Alachua, FL	feces	environmental/other	PDS000044728.1	9		SAMN11334858	GCA_004768205.1	aadA1=COMPLETE,aadA2=COMPLETE,aph(3')-Ia=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE,tet(C)=COMPLETE	2016
	PDT000488315.1	USA: Alachua, FL	feces	environmental/other	PDS000044728.1	9		SAMN11334859	GCA_004768235.1	aadA1=COMPLETE,aadA2=COMPLETE,aph(3')-Ia=COMPLETE,blaCMY-2=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE,tet(C)=COMPLETE	2016
	PDT000213249.2	USA	stool	clinical				SAMN07172344	GCA_012466225.1	aadA5=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,erm(B)=COMPLETE,gyrA_S83L=POINT,mph(A)=COMPLETE,nfsA_R133S=POINT,sul1=COMPLETE	2016-01-14
	PDT000097019.3	USA:TX	stool	clinical	PDS000071995.7	7	8	SAMN04148324	GCA_012770135.1	blaEC=COMPLETE	2015
	PDT000097335.3	USA:TX	stool	clinical	PDS000035193.54	13	37	SAMN04148321	GCA_012769455.1	blaEC=COMPLETE	2015
	PDT000287867.3	USA	stool	clinical	PDS000034301.78	6		SAMN08558969		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2018-01-29
	PDT000281605.3	USA:MI	stool	clinical	PDS000071644.4	32	27	SAMN08102375	GCA_012263805.1	blaEC=COMPLETE	2008
	PDT000144520.3	USA:Boston	stool	clinical	PDS000034595.28	2	21	SAMN05510451	GCA_012634145.1	blaEC=COMPLETE	2016
	PDT000280776.3	USA	stool	clinical	PDS000034595.28	0	16	SAMN08385475	GCA_012268925.1	blaEC=COMPLETE	2017-09-25
	PDT000287902.3	USA	stool	clinical	PDS000034484.26	3		SAMN08559016	GCA_012258105.1	blaEC=COMPLETE	2017-11-22
	PDT000107746.3	USA	stool	clinical	PDS000034005.16	2		SAMN04498565	GCA_012739785.1	blaEC=COMPLETE	2015-12-05
	PDT000137572.3	USA	stool	clinical	PDS000034005.16	0		SAMN05374531	GCA_012668325.1	blaEC=COMPLETE	2013-05-31
	PDT000149818.3	USA	stool	clinical	PDS000034005.16	4		SAMN05803878	GCA_012586995.1	blaEC=COMPLETE	2014-06-26
	PDT000149819.3	USA	stool	clinical	PDS000034005.16	7		SAMN05803877	GCA_012586605.1	blaEC=COMPLETE	2015-07-29
	PDT000149820.3	USA	stool	clinical	PDS000034005.16	2		SAMN05803876	GCA_012586455.1	blaEC=COMPLETE	2016-07-26
	PDT000157474.3	USA	stool	clinical	PDS000034005.16	6		SAMN05991348	GCA_012561545.1	blaEC=COMPLETE	2016-08-16
	PDT000285889.3	USA	stool	clinical	PDS000034005.16	1		SAMN08501098	GCA_012259625.1	blaEC=COMPLETE	2017-11-17
	PDT000235969.3	USA:MN	feces	environmental/other	PDS000033761.21	0	5	SAMN07509370	GCA_012424065.1	blaEC=COMPLETE	2017-07
	PDT000235973.3	USA:MN	feces	environmental/other	PDS000033761.21	0	5	SAMN07509372	GCA_012424185.1	blaEC=COMPLETE	2017-07
	PDT000093300.3	USA:TX	stool	clinical	PDS000035091.24	37	57	SAMN04148318	GCA_012776955.1	blaEC=COMPLETE	2015
	PDT000281612.3	USA:MI	stool	clinical	PDS000035091.24	9	48	SAMN08102370	GCA_012263785.1	blaEC=COMPLETE	2009
	PDT000398019.2	USA:MI	stool	clinical	PDS000035091.24	8	8	SAMN10315706	GCA_012069815.1	blaEC=COMPLETE	2009
	PDT000452670.4	USA:MI	stool	clinical	PDS000035091.24	29	28	SAMN10506161		blaEC=COMPLETE	2007
	PDT000503646.3	USA:MI	stool	clinical	PDS000035091.24	9	51	SAMN10506150	GCA_011933385.1	blaEC=COMPLETE	2009
Pending:	PDT000125572.3	USA	stool	clinical	PDS000003189.35	1		SAMN04621358	GCA_012901505.1	blaEC=MISTRANSLATION	2014-11
Pending:Undetermined	PDT000101061.3	USA	stool	clinical	PDS000003657.55	1	22	SAMN04335029	GCA_012772475.1	blaEC=COMPLETE	2015-11
	PDT000094203.3	USA:FL	feces	clinical	PDS000035159.182	0	5	SAMN04191561	GCA_012775335.1	blaEC=COMPLETE	2012
	PDT000097020.3	USA:TX	stool	clinical	PDS000035159.182	12	14	SAMN04148325	GCA_012772435.1	blaEC=COMPLETE	2015
	PDT000106401.2	USA: FL	feces	clinical	PDS000035159.182	3	2	SAMN04191546	GCA_001558995.2	blaEC=COMPLETE	2013-08-13
	PDT000285890.3	USA	stool	clinical	PDS000035159.182	13	38	SAMN08501097	GCA_012259605.1	blaEC=COMPLETE	2017-11-20
	PDT000396687.2	USA:MI	stool	clinical	PDS000035159.182	31	23	SAMN10289794	GCA_012069895.1	blaEC=COMPLETE	2009
Isolate to CDC:Isolate to CDC	PDT000112486.3	USA	stool	clinical	PDS000003441.130	0	0	SAMN04518090	GCA_012760355.1	blaEC=COMPLETE	2016-01
Isolate to CDC:Isolate to CDC	PDT000121082.3	USA	stool	clinical	PDS000003441.130	0	0	SAMN04568480	GCA_012708585.1	blaEC=COMPLETE	2016-02
Pending:Pending	PDT000130432.4	USA	stool	clinical	PDS000003441.130	0	0	SAMN04925752	GCA_012490745.1	blaEC=COMPLETE	2016-02
Isolate to CDC:Isolate to CDC	PDT000133834.3	USA	stool	clinical	PDS000003441.130	0	0	SAMN05201343	GCA_012896345.1	blaEC=COMPLETE	2016-05
	PDT000287877.3	USA	stool	clinical	PDS000035282.37	3		SAMN08558986	GCA_012258825.1	blaEC=COMPLETE	2018-01-14
	PDT000287882.3	USA	stool	clinical	PDS000035282.37	6		SAMN08558987	GCA_012258735.1	blaEC=COMPLETE	2017-12-23
Undetermined:Isolate to CDC	PDT000066911.3	USA	stool	clinical	PDS000059978.9	22		SAMN03758656	GCA_012811055.1	blaEC=COMPLETE	2015-05
Isolate to CDC:Isolate to CDC	PDT000125571.3	USA	stool	clinical	PDS000059978.9	26		SAMN04621357	GCA_012901585.1	blaEC=COMPLETE	2014-06
	PDT000150926.3	USA	stool	clinical	PDS000059978.9	32		SAMN05851577	GCA_012906125.1	blaEC=COMPLETE	2013-03-28
	PDT000114517.3	USA	stool	clinical	PDS000035067.7	0	24	SAMN04549542	GCA_012761155.1	blaEC=COMPLETE	2008-06-03
	PDT000797821.1	USA	stool	environmental/other	PDS000035182.42		19	SAMN15659418	GCA_013828705.1	blaEC=COMPLETE	2020-07-15
	PDT000107732.3	USA	stool	clinical	PDS000000758.58	3	15	SAMN04498551	GCA_012739995.1	blaEC=COMPLETE	2012-10-01
	PDT000213234.3	USA	stool	clinical	PDS000000758.58	19	18	SAMN07172027	GCA_012465235.1	blaEC=COMPLETE	2015-06-14
	PDT000218956.1	USA:CA	feces	environmental/other	PDS000009288.15	1	52	SAMN06005859	GCA_002194835.1	blaEC=COMPLETE	2012-12-06
	PDT000218960.1	USA:CA	feces	environmental/other	PDS000009288.15	0	48	SAMN06005863	GCA_002194915.1	blaEC=COMPLETE	2012-12-06
	PDT000218998.1	USA:CA	feces	environmental/other	PDS000009288.15	0	48	SAMN06005866	GCA_002195675.1	blaEC=COMPLETE	2012-12-06
	PDT000219000.1	USA:CA	feces	environmental/other	PDS000009288.15	4	52	SAMN06005864	GCA_002195705.1	blaEC=COMPLETE	2012-12-06
	PDT000287870.3	USA	stool	clinical	PDS000033872.27	9	15	SAMN08558977		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	2018-01-23
	PDT000097017.3	USA:TX	stool	clinical	PDS000004313.67	0	1	SAMN04148323	GCA_012768535.1	blaEC=COMPLETE	2015
	PDT000220633.2	USA:DC	stool	clinical	PDS000004313.67	2	1	SAMN06173305	GCA_002206405.2	blaEC=COMPLETE	2014-02-11
	PDT000284936.3	USA:MI	stool	clinical	PDS000004313.67	1	2	SAMN07717114		blaEC=COMPLETE	2007
	PDT000285818.3	USA	stool	clinical	PDS000004313.67	2	3	SAMN08501026	GCA_012258625.1	blaEC=COMPLETE	2018-01-04
	PDT000157303.1	USA: Pennsylvania	stool	environmental/other	PDS000063309.9	1	0	SAMN04040761	GCA_001865295.1	blaEC=COMPLETE	2008
Pending:Pending	PDT000050464.3	USA	stool	clinical	PDS000003575.91	2	47	SAMN03378120	GCA_012825375.1	blaEC=COMPLETE	2015-01
Pending:Undetermined	PDT000130542.3	USA	stool	clinical	PDS000003575.91	25	44	SAMN04962256	GCA_012898905.1	blaEC=COMPLETE	2016-03
	PDT000249232.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN07717144	GCA_012375895.1	blaEC=COMPLETE	2008
	PDT000252774.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN07717158	GCA_012366615.1	blaEC=COMPLETE	2008
	PDT000252795.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN07717163	GCA_012368475.1	blaEC=COMPLETE	2008
	PDT000252863.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN07717160	GCA_012366255.1	blaEC=COMPLETE	2008
	PDT000252908.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN07717153	GCA_012366055.1	blaEC=COMPLETE	2008
O157:H7	PDT000259471.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN07738657	GCA_012345595.1	blaEC=COMPLETE	2008
O157:H7	PDT000263896.3	USA:MI	stool	clinical	PDS000035114.36	1	17	SAMN07738681		blaEC=COMPLETE	2008
O157:H7	PDT000263898.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN07738631	GCA_012343395.1	blaEC=COMPLETE	2008
O157:H7	PDT000263901.3	USA:MI	stool	clinical	PDS000035114.36	1	17	SAMN07738670	GCA_012343315.1	blaEC=COMPLETE	2008
O157:H7	PDT000263909.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN07738692		blaEC=COMPLETE	2008
O157:H7	PDT000263916.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN07738683	GCA_012343275.1	blaEC=COMPLETE	2008
O157:H7	PDT000263928.3	USA:MI	stool	clinical	PDS000035114.36	1	17	SAMN07738676	GCA_012343235.1	blaEC=COMPLETE	2008
	PDT000281596.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN08102382	GCA_012265805.1	blaEC=COMPLETE	2008
	PDT000281601.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN08102378	GCA_012263665.1	blaEC=COMPLETE	2008
	PDT000281624.3	USA:MI	stool	clinical	PDS000035114.36	12	22	SAMN08102575	GCA_012265705.1	blaEC=COMPLETE	2009
	PDT000287896.3	USA	stool	clinical	PDS000035114.36	18	38	SAMN08559000	GCA_012257745.1	blaEC=COMPLETE	2018-01-20
O157:H7	PDT000354092.3	USA:MI	stool	clinical	PDS000035114.36	1	17	SAMN07738668	GCA_012128535.1	blaEC=COMPLETE	2008
O157:H7	PDT000354098.3	USA:MI	stool	clinical	PDS000035114.36	0	16	SAMN07738663	GCA_012128455.1	blaEC=COMPLETE	2008
	PDT000354115.3	USA:MI	stool	clinical	PDS000035114.36	1	17	SAMN08102383	GCA_012128575.1	blaEC=COMPLETE	2008
	PDT000398021.5	USA:MI	stool	clinical	PDS000035114.36	4	30	SAMN10315705		blaEC=COMPLETE	2008
	PDT000101852.3	USA:FL	feces	clinical	PDS000004368.57	2	3	SAMN04335034	GCA_012741255.1	blaEC=COMPLETE	2011-09-26
	PDT000101853.3	USA:FL	feces	clinical	PDS000004368.57	2	3	SAMN04335033	GCA_012741295.1	blaEC=COMPLETE	2011-09-26
	PDT000218943.1	USA:CA	feces	environmental/other	PDS000035073.148	4	15	SAMN06005831	GCA_002194555.1	blaEC=COMPLETE	2013-02-20
	PDT000218991.1	USA:CA	feces	environmental/other	PDS000035073.148	7	18	SAMN06005830	GCA_002195515.1	blaEC=COMPLETE	2013-02-20
	PDT000218993.1	USA:CA	feces	environmental/other	PDS000035073.148	4	15	SAMN06005832	GCA_002195565.1	blaEC=COMPLETE	2013-02-20
	PDT000253347.3	USA	stool	clinical	PDS000035073.148	1	3	SAMN07808844	GCA_012364195.1	blaEC=COMPLETE	2016-11-22
	PDT000254358.3	USA	stool	clinical	PDS000035073.148	3	5	SAMN07817167	GCA_012357155.1	blaEC=COMPLETE	2016-11-01
	PDT000254359.3	USA	stool	clinical	PDS000035073.148	2	4	SAMN07817166	GCA_012356985.1	blaEC=COMPLETE	2016-11-14
	PDT000254361.3	USA	stool	clinical	PDS000035073.148	1	3	SAMN07817165	GCA_012357075.1	blaEC=COMPLETE	2016-11-30
	PDT000285812.3	USA	stool	clinical	PDS000035073.148	1	1	SAMN08501036	GCA_012260045.1	blaEC=COMPLETE	2017-12-07
	PDT000285876.3	USA	stool	clinical	PDS000035073.148	0	0	SAMN08501094	GCA_012259765.1	blaEC=COMPLETE	2017-12-01
	PDT000285882.3	USA	stool	clinical	PDS000035073.148	0	0	SAMN08501102	GCA_012259665.1	blaEC=COMPLETE	2017-11-10
	PDT000286166.3	USA	stool	clinical	PDS000035073.148	1	1	SAMN08513271	GCA_012259385.1	blaEC=COMPLETE	2017-11-17
	PDT000288431.3	USA	stool	clinical	PDS000035073.148	0	0	SAMN08580527	GCA_012257325.1	blaEC=COMPLETE	2017-12-04
	PDT000636463.2	USA	feces	environmental/other	PDS000035073.148	0	0	SAMN13387986	GCA_011823175.1	blaEC=COMPLETE	2019-11-14
	PDT000636464.2	USA	feces	environmental/other	PDS000035073.148	0	0	SAMN13387984	GCA_011823535.1	blaEC=COMPLETE	2019-11-14
	PDT000636465.2	USA	feces	environmental/other	PDS000035073.148	0	0	SAMN13387985	GCA_011823815.1	blaEC=COMPLETE	2019-11-14
	PDT000636466.2	USA	feces	environmental/other	PDS000035073.148	2	2	SAMN13387981	GCA_011823935.1	blaEC=COMPLETE	2019-11-14
	PDT000636467.2	USA	feces	environmental/other	PDS000035073.148	0	0	SAMN13387980	GCA_011824135.1	blaEC=COMPLETE	2019-11-14
	PDT000636468.2	USA	feces	environmental/other	PDS000035073.148	2	2	SAMN13387978	GCA_011823595.1	blaEC=COMPLETE	2019-11-14
	PDT000636469.2	USA	feces	environmental/other	PDS000035073.148	0	0	SAMN13387977	GCA_011823765.1	blaEC=COMPLETE	2019-11-14
	PDT000636470.2	USA	feces	environmental/other	PDS000035073.148	0	0	SAMN13387982	GCA_011823035.1	blaEC=COMPLETE	2019-11-14
	PDT000636471.2	USA	feces	environmental/other	PDS000035073.148	0	0	SAMN13387976	GCA_011823415.1	blaEC=COMPLETE	2019-11-14
	PDT000636473.2	USA	feces	environmental/other	PDS000035073.148	0	0	SAMN13387975	GCA_011823215.1	blaEC=COMPLETE	2019-11-14
	PDT000637226.2	USA	feces	environmental/other	PDS000035073.148	0	0	SAMN13387979	GCA_011822415.1	blaEC=COMPLETE	2019-11-14
	PDT000218957.1	USA:CA	feces	environmental/other	PDS000063298.10	7	11	SAMN06005851	GCA_002194855.1	blaEC=COMPLETE	2012-12-06
	PDT000218958.1	USA:CA	feces	environmental/other	PDS000063298.10	4	6	SAMN06005853	GCA_002194865.1	blaEC=COMPLETE	2012-12-06
	PDT000218959.1	USA:CA	feces	environmental/other	PDS000063298.10	6	6	SAMN06005854	GCA_002194875.1	blaEC=COMPLETE	2012-12-06
	PDT000218995.1	USA:CA	feces	environmental/other	PDS000063298.10	4	6	SAMN06005850	GCA_002195615.1	blaEC=COMPLETE	2012-12-06
	PDT000284937.3	USA:MI	stool	clinical	PDS000063298.10	24	24	SAMN07717116	GCA_012262105.1	blaEC=COMPLETE	2007
	PDT000092467.3	USA:TX	stool	clinical	PDS000035237.100	13	36	SAMN04148329	GCA_012777455.1	blaEC=COMPLETE	2015
Pending:Pending	PDT000101058.3	USA	stool	clinical	PDS000034439.99	17	22	SAMN04335027	GCA_012772315.1	blaEC=COMPLETE	2015-11
	PDT000107738.3	USA	stool	clinical	PDS000034439.99	17	23	SAMN04498557	GCA_012739655.1	blaEC=COMPLETE	2013-05-23
	PDT000157469.3	USA	stool	clinical	PDS000034439.99	10	12	SAMN05991344	GCA_012562365.1	blaEC=COMPLETE	2016-07-14
	PDT000190959.3	USA	stool	clinical	PDS000035066.44	1	41	SAMN06475262	GCA_012490325.1	blaEC=COMPLETE	2016-07-07
	PDT000190984.3	USA	stool	clinical	PDS000035066.44	1	41	SAMN06475302	GCA_012489985.1	blaEC=COMPLETE	2016-06-30
	PDT000247119.3	USA:MI	stool	clinical	PDS000035066.44	15	16	SAMN07717137		blaEC=COMPLETE,blaTEM-1=COMPLETE	2007
	PDT000598369.2	USA:MI	stool	clinical	PDS000035066.44	43	27	SAMN12881542	GCA_011854105.1	blaEC=COMPLETE	2009
	PDT000287881.3	USA	stool	clinical	PDS000035339.84	14	25	SAMN08559004	GCA_012258805.1	blaEC=COMPLETE	2017-08-14
	PDT000525760.2	USA	stool	environmental/other	PDS000035339.84	29	9	SAMN12100775	GCA_011929015.1	blaEC=COMPLETE	2019-05-17
	PDT000285816.3	USA	stool	clinical	PDS000035055.26	1	30	SAMN08501033	GCA_012258585.1	blaEC=COMPLETE	2018-01-21
	PDT000287897.3	USA	stool	clinical	PDS000035055.26	2	32	SAMN08559007	GCA_012257765.1	blaEC=COMPLETE	2018-01-26
	PDT000396686.2	USA:MI	stool	clinical	PDS000035055.26	6	19	SAMN10289796	GCA_012069955.1	blaEC=COMPLETE	2009
Pending:Undetermined	PDT000084026.3	USA	stool	clinical	PDS000034284.59	27	39	SAMN03857016	GCA_012793435.1	blaEC=COMPLETE	2015-06
	PDT000272579.3	USA	stool	clinical	PDS000034284.59	14	23	SAMN08182883	GCA_012314225.1	blaEC=COMPLETE	2017-11-21
Pending:Pending	PDT000120831.3	USA	stool	clinical	PDS000003596.60	11	14	SAMN04578441	GCA_012711035.1	blaEC=COMPLETE	2013-11
Pending:Pending	PDT000130436.3	USA	stool	clinical	PDS000003596.60	26	37	SAMN04925749	GCA_012899165.1	blaEC=COMPLETE,tet(C)=COMPLETE	2016-04
	PDT000251618.1	USA: MI	feces	environmental/other	PDS000035294.30	9	9	SAMN05605420	GCA_002515025.1	blaEC=COMPLETE	2012
	PDT000284938.3	USA:MI	stool	clinical	PDS000035294.30	4	30	SAMN07717123	GCA_012262155.1	blaEC=COMPLETE	2007
	PDT000398018.5	USA:MI	stool	clinical	PDS000035294.30	4	33	SAMN10315654		blaEC=COMPLETE	2009
	PDT000398027.2	USA:MI	stool	clinical	PDS000035294.30	5	31	SAMN10315753	GCA_012070335.1	blaEC=COMPLETE	2009
	PDT000215134.3	USA	stool	clinical	PDS000035300.51	13	23	SAMN07159565	GCA_012560485.1	blaEC=COMPLETE	2016-10-04
	PDT000196496.3	USA:AZ	stool	clinical	PDS000033499.3	1	1	SAMN06622170	GCA_012485895.1	blaEC=COMPLETE	2017-02-07
	PDT000196498.3	USA:AZ	stool	clinical	PDS000033499.3	1	1	SAMN06622171	GCA_012485275.1	blaEC=COMPLETE	2017-02-06
	PDT000196503.3	USA:AZ	stool	clinical	PDS000033499.3	0	0	SAMN06622168	GCA_012485855.1	blaEC=COMPLETE	2017-02-02
	PDT000196504.3	USA:AZ	stool	clinical	PDS000033499.3	0	1	SAMN06622169	GCA_012485355.1	blaEC=COMPLETE	2017-01-17
	PDT000150985.3	USA	stool	clinical	PDS000008416.25	7		SAMN05856120	GCA_012583795.1	blaEC=COMPLETE	2015-08-19
	PDT000285879.3	USA	stool	clinical	PDS000035610.16	9	16	SAMN08501092	GCA_012259745.1	blaEC=COMPLETE	2017-10-23
	PDT000147488.3	USA	stool	clinical	PDS000034950.12	0		SAMN05733198	GCA_012626145.1	blaEC=COMPLETE	2015-08-09
